PlayerID,PlayerName,MilesFlown,TimeZones,ScheduleContext,RestDeficit,RecentWorkload,CumFat_IR,CumFat_PD,AgeAdjRest,USG_Pct,UsageScaledPenalty,B2B_x_USG
1628378,Donovan Mitchell,1857.1,1.0,1 B2Bs,1,32.0,44.4,-4.44,1.0,0.2,-1.5,0.2
1628379,Luke Kennard,830.8,1.0,1 B2Bs,1,20.7,29.5,-2.95,1.0,0.2,-1.5,0.2
1628381,John Collins,0.0,0.0,0 B2Bs,0,20.0,10.0,-1.0,0.0,0.2,-1.5,0.0
1628384,OG Anunoby,2766.1,5.5,1 B2Bs,1,34.0,53.6,-5.36,1.0,0.2,-1.5,0.2
1628389,Bam Adebayo,1307.3,0.0,1 B2Bs,1,38.3,42.6,-4.260000000000001,1.0,0.2,-1.5,0.2
1628392,Isaiah Hartenstein,0.0,0.0,0 B2Bs,0,21.0,10.5,-1.05,0.0,0.2,-1.5,0.0
1628398,Kyle Kuzma,1876.2,1.5,0 B2Bs,0,27.3,30.6,-3.0600000000000005,0.0,0.2,-1.5,0.0
1628401,Derrick White,3565.8,2.5,0 B2Bs,0,37.0,50.6,-5.0600000000000005,0.0,0.2,-1.5,0.0
1628404,Josh Hart,830.8,1.0,1 B2Bs,1,28.0,33.1,-3.3100000000000005,1.0,0.2,-1.5,0.2
1628418,Thomas Bryant,1857.1,1.0,1 B2Bs,1,18.0,37.4,-3.74,1.0,0.2,-1.5,0.2
1628436,Luke Kornet,0.0,0.0,1 B2Bs,1,18.7,21.0,-2.1,1.0,0.2,-1.5,0.2
1628467,Maxi Kleber,0.0,0.0,0 B2Bs,0,10.0,5.0,-0.5,0.0,0.2,-1.5,0.0
1628960,Grayson Allen,1892.5,3.0,1 B2Bs,1,28.0,42.7,-4.2700000000000005,1.0,0.2,-1.5,0.2
1628963,Marvin Bagley III,1490.1,1.0,1 B2Bs,1,22.3,36.2,-3.6200000000000006,1.0,0.2,-1.5,0.2
1628964,Mo Bamba,0.0,0.0,0 B2Bs,0,17.0,8.5,-0.8500000000000001,0.0,0.2,-1.5,0.0
1628969,Mikal Bridges,2766.1,5.5,1 B2Bs,1,27.7,50.4,-5.04,1.0,0.2,-1.5,0.2
1628970,Miles Bridges,4728.1,6.0,1 B2Bs,1,32.7,70.6,-7.06,1.0,0.2,-1.5,0.2
1628971,Bruce Brown,3021.5,6.0,2 B2Bs,2,19.0,60.0,-6.0,2.0,0.2,-1.5,0.4
1628973,Jalen Brunson,2766.1,5.5,1 B2Bs,1,36.0,54.6,-5.460000000000001,1.0,0.2,-1.5,0.2
1628975,Jevon Carter,2877.9,2.5,2 B2Bs,2,19.0,58.7,-5.870000000000001,2.0,0.2,-1.5,0.4
1628976,Wendell Carter Jr.,2877.9,2.5,2 B2Bs,2,34.7,66.6,-6.66,2.0,0.2,-1.5,0.4
1628978,Donte DiVincenzo,3252.4,5.0,1 B2Bs,1,27.7,54.8,-5.48,1.0,0.2,-1.5,0.2
1628983,Shai Gilgeous-Alexander,0.0,0.0,0 B2Bs,0,37.0,18.5,-1.85,0.0,0.2,-1.5,0.0
1628988,Aaron Holiday,1252.6,1.0,1 B2Bs,1,9.0,27.4,-2.74,1.0,0.2,-1.5,0.2
1628989,Kevin Huerter,3964.7,1.5,2 B2Bs,2,24.0,71.0,-7.1000000000000005,2.0,0.2,-1.5,0.4
1628997,Caleb Martin,2782.4,1.0,2 B2Bs,2,15.3,56.0,-5.6000000000000005,2.0,0.2,-1.5,0.4
1629001,De'Anthony Melton,1798.1,2.0,0 B2Bs,0,24.7,28.5,-2.85,0.0,0.2,-1.5,0.0
1629006,Josh Okogie,2132.9,2.5,2 B2Bs,2,14.3,49.7,-4.970000000000001,2.0,0.2,-1.5,0.4
1629008,Michael Porter Jr.,1639.0,0.0,0 B2Bs,0,32.3,30.9,-3.09,0.0,0.2,-1.5,0.0
1629011,Mitchell Robinson,2766.1,5.5,0 B2Bs,0,23.3,36.6,-3.66,0.0,0.2,-1.5,0.0
